architecture,is_architecture,author/s,city,country,start_year,end_year,qty_title,qty_paragraph,qty_caption,qty_unassigned,qty,certainty_score,fuctional_type_infered,fuctional_type_classified,uses_wikipedia
Engel apartment building,Yes,Ze’ev Rechter,Tel Aviv,Israel,1933,1933,0,0,1,0,1,0.9122046232,workers’ housing,Single-Family Housing,FALSE
Mann Auditorium,Yes,Ofer Kolker,Israel,Japanese,1957,1957,1,0,0,0,1,0.9967108965,Office,University Auditorium,TRUE
Habima Theatre,Yes,Sholem Aleichem,Tel Aviv,Israel,1945,1945,0,1,0,0,1,0.9997852445,theatre,Theater,TRUE
Schocken Library,Yes,Erich Mendelsohn,Jerusalem,Palestine,1936,1936,0,0,0,1,1,0.9996949434,Schocken Library,Library,FALSE
Hadassah hospital,Yes,Joseph Neufeld,Jerusalem,Israel,2012,2012,0,0,1,0,1,0.9993050098,sanatorium,Hospital / Clinic / Dispensary,TRUE
University Medical Center,Yes,University Medical Center,University Medical Center,United States,unanswerable,unspecified,0,0,1,0,1,0.9342420697,sanatorium,Hospital / Clinic / Dispensary,TRUE
Mount Scopus,No,,,,,,,,,,,,,,
Engel Apartment House,Yes,Rechter,Tel Aviv,Israel,1933,1933,0,0,1,0,1,0.999622941,house,Single-Family Housing,FALSE
Shipping Company,No,,,,,,,,,,,,,,
ORT School,Yes,Ram Karmi,Jerusalem,Israel,1956,1963,0,0,1,0,1,0.9050104618,office,Synagogue,FALSE
Bat Yam Town Hall,Yes,Neumann,Israel,Palestinian,1963,1963,0,1,2,1,4,0.9993474185,house,Town Hall or Municipality,FALSE
Yam Town Hall,Yes,Neumann,Israel,Palestinian,1963,1963,0,2,2,0,4,0.9976068735,house,Town Hall or Municipality,FALSE
Town Hall,Yes,Palazzo Senatorio,the Philippines,Commonwealth,1850s,middle of the 19th century,0,14,4,3,21,0.9880140424,office,Town Hall or Municipality,TRUE
US Embassy,Yes,William Morris,New York City,United States,1905,1912,0,0,0,1,1,0.9650959969,office,Embassy or Consulate,FALSE
Tobacco Monopoly Building,Yes,Rifat Chadirji,Baghdad,Iraq,1967,1967,0,0,0,1,1,0.9997919798,Tobacco Monopoly Building,Single-Brand Store,FALSE
Tobacco Monopoly Headquarters,Yes,Chadirji,Baghdad,Saudi Arabia,1967,1967,0,0,1,0,1,0.9996318817,office,Bank (branch or headquarters),FALSE
Al - Kindi Plaza,Yes,Ayatollah Khomeini,Dubai,United Arab Emirates,1905,2003,0,0,0,1,1,0.9993476272,office,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Justice Palace,Yes,Jordanian architect Rasem Badran,Riyad,Saudi Arabia,1985,1992,0,0,2,0,2,0.9994293153,office,Court of Justice,FALSE
National Commercial Bank,Yes,Gordon Bunshaft,Jeddah,Saudi Arabia,1983,1983,0,0,0,1,1,0.9997508526,office,Bank (branch or headquarters),FALSE
Wadi Hanifa,Yes,Banu Hanifa,Arabia,United States,ancient times,ancient times,0,1,1,0,2,0.998210907,sanatorium,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,TRUE
Orphan School,Yes,Vartan Avanessian,Tehran,Iran,1935,1935,0,1,0,0,1,0.9990659952,house,Asylum / Orphanage,FALSE
Bank Melli,Yes,H. Heinrich,Tehran,Iran,1960,1932,0,1,1,0,2,0.9899893999,Printing,Bank (branch or headquarters),TRUE
Shushtar,No,,,,,,,,,,,,,,
Mahallat,No,,,,,,,,,,,,,,
Kuwait Towers,Yes,Union Inenjering,Kuwait City,Kuwait,1971,1979,0,2,1,0,3,0.997019887,water,Observation Tower,TRUE
Seif Palace,Yes,Local materials,Kuwait City,Kuwait,"Kuwait City, Kuwait",Kuwait,0,1,0,0,1,0.9998412132,house,Government Residence and Palace,TRUE
Sydney Opera House,Yes,Cobden Parkes,New South Wales,AU,unspecified,20th,0,1,1,1,3,0.9850951036,office,Theater,TRUE
Dairy Plant,Yes,Kanvinde,Gujarat,India,1970,1970-73,0,1,0,0,1,0.9881514907,Dairy Plant,Factory,FALSE
Nehru Science Centre,Yes,Rajiv Gandhi,Mumbai,India,1977,1985,0,0,0,1,1,0.9581481814,Science & Technology Museum,Hospital / Clinic / Dispensary,TRUE
National Science Centre,Yes,Nauki,Poland,Poland,2010,2010,0,0,0,1,1,0.9970534444,Office,Government Administrative Offices,TRUE
Agra Fort,Yes,Shah Jahan,Agra,India,1530,1573,0,1,0,0,1,0.9998514652,"main residence of the rulers of the Mughal dynasty until 1638, when the capital was shifted from Agra to Delhi",Government Residence and Palace,TRUE
Puchenau housing complex,Yes,Roland Rainer,Linz,Austria,1960s,1960,0,1,0,0,1,0.9986440539,house,Hospital / Clinic / Dispensary,FALSE
Sheikh Sarai housing,Yes,Raj Rewal,New Delhi,India,1970,1970-82,0,0,0,1,1,0.9794445634,house,Single-Family Housing,FALSE
Gandhi Smarak Sangrahalaya memorial,Yes,Kahn,Ahmedabad,India,1958,1963,0,0,1,0,1,0.9991897941,office,Memorial,FALSE
Trenton Bath House,Yes,Louis Kahn,"Trenton, New Jersey",United States,1984,1984,0,1,0,0,1,0.9911269546,changing room facility,Bathhouse,TRUE
Kanchanjunga,No,,,,,,,,,,,,,,
Cumbaila Hill,No,,,,,,,,,,,,,,
Kanchanjunga Tower,Yes,Correa,Mumbai,India,1983,1983,0,0,1,0,1,0.9840874672,office,Observation Tower,FALSE
Gandhi Memorial,Yes,Kahn,Ahmedabad,India,1963,1963,0,0,1,0,1,0.9973478317,office,Memorial,FALSE
Chandigarh,No,,,,,,,,,,,,,,
Anmedabad,No,,,,,,,,,,,,,,
Sangath studio,No,,,,,,,,,,,,,,
Vastu Shilpa office,Yes,Doshi,Mumbai,India,1981,1981,0,1,0,0,1,0.9556874633,office,Bank (branch or headquarters),FALSE
Community Housing,No,,,,,,,,,,,,,,
Sangath Studio Compound,Yes,Rahul Mehrotra,Ahmedabad,India,1981,1981,0,1,1,0,2,0.9167233109,residential,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Bangalore,No,,,,,,,,,,,,,,
Tuljapur,No,,,,,,,,,,,,,,
Tata Institute Social Sciences Rural Campus,Yes,the architect/s behind the Tata Institute Social Sciences Rural Campus,Mumbai,India,2011,2011,0,0,0,1,1,0.9511326551,office,Farm / Stable,FALSE
Hathigaon,No,,,,,,,,,,,,,,
Amber Palace,Yes,Ambikeshwar Temple,Dhundhar,India,1599,1599,0,0,0,1,1,0.9807711244,house,Government Residence and Palace,TRUE
KMC Corporate Office,Yes,Mehrotra,Hyderabad,Indian,2012,2012,0,0,2,0,2,0.9935746789,office,Bank (branch or headquarters),FALSE
Mehrotra,No,,,,,,,,,,,,,,
KMC office,No,,,,,,,,,,,,,,
Shiv Temple,Yes,Studio Mumbai,Pune,India,2010,2010,0,0,1,0,1,0.9959023595,sanatorium,Church,FALSE
Tara,No,,,,,,,,,,,,,,
Palmyria Houses,Yes,Studio Mumbai,Anmedabad,India,2005,2007,0,1,0,0,1,0.9996753335,house,Single-Family Housing,FALSE
Tara House,Yes,Heckelmanns Building,Brisbane,Queensland,1927,1948,0,1,0,0,1,0.9991341233,house,Hospital / Clinic / Dispensary,TRUE
Palmyria compound,No,,,,,,,,,,,,,,
Lilavati Lalbhai Library,Yes,Bijoy Jain,Maharashtra,India,2017,2017,0,0,2,0,2,0.9987691045,house,Library,FALSE
Palmyria House,Yes,Studio Mumbai,Maharashtra,India,2007,2007,0,1,2,0,3,0.993080318,house,Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary,FALSE
Assembly Foreign Office,No,,,,,,,,,,,,,,
Shah Fais,No,,,,,,,,,,,,,,
Shah Faisal Mosque,Yes,Vedat Dalokay,Islamabad,Pakistan,1976,1986,0,0,1,0,1,0.9979146719,mosque,Mosque,TRUE
Commodore Haq house,Yes,Yasmeen Lari,Karachi,Pakistan,1970s,1978,0,1,0,0,1,0.9353342652,house,Government Residence and Palace,FALSE
Anguri Bagh housing,Yes,Yasmeen Lari,Lahore,Pakistan,1973,1978,0,1,0,0,1,0.9917557836,house,Single-Family Housing,FALSE
Asian Games Village housing,Yes,Raj Rewal,New Delhi,India,1980,1980-82,0,1,0,1,2,0.9698517919,house,Hospital / Clinic / Dispensary,FALSE
Shakir Ali Auditorium,Yes,Nayyar Ali Dada,Karachi,Pakistan,1978,1978,0,1,0,0,1,0.9561460614,auditorium,University Auditorium,FALSE
Aga Khan University Hospital,Yes,Payette Associates,Karachi,Bangladesh,1970s,1985,0,0,1,0,1,0.9994463921,hospital,Hospital / Clinic / Dispensary,FALSE
Independence Monument,Yes,Kashef Mahboob Chowdhury,Dhaka,Bangladesh,1997,2013,1,0,0,0,1,0.9992139339,Office,Memorial,FALSE
Liberation War Museum,Yes,the Japanese government,Dhaka,Bangladesh,1971,2017,1,0,0,0,1,0.9824863076,Museum,Museum,TRUE
Suhrawardy Udyan,No,,,,,,,,,,,,,,
Chandgaon Mosque,Yes,Kashef Mahboob Chowdhury,Chittagong,Bangladesh,2007,2007,0,1,0,0,1,0.9998006821,mosque,Mosque,TRUE
Friendship Centre,Yes,urban Aboriginal people,urban,Aboriginal,1952,2009,0,2,2,0,4,0.9974114498,National Association of Friendship Centres,Hospital / Clinic / Dispensary,TRUE
Tabassum,No,,,,,,,,,,,,,,
Bait Ur Rouf Mosque,Yes,Marina Tabassum,Dhaka,Bangladesh,13th century,2016,0,0,3,0,3,0.9994351864,mosque,Mosque,TRUE
Eco Resort,Yes,Tabassum,Jessore,Bangladesh,2013,2013,0,1,0,0,1,0.9861588478,motel,Hotel,FALSE
Ur Rouf Mosque,Yes,Tabassum,Dhaka,Bangladesh,2013,2013,0,0,3,0,3,0.9690870047,house,Mosque,FALSE
project Bangladesh Chancery complex,Yes,the architect/s behind the project Bangladesh Chancery complex,Dhaka,Bangladesh,1905,1905,0,0,0,1,1,0.9440931082,office,Embassy or Consulate,FALSE
Bentota Beach Hotel,Yes,Geoffrey Bawa,Bentota,Sri Lanka,1967,1969,0,1,0,0,1,0.9996298552,hotel,Hotel,TRUE
Kandalama Hotel,Yes,Bawa,Dambulla,Sri Lanka,1988,1988,0,1,0,0,1,0.9998428226,house,Hotel,FALSE
Parliament Complex,Yes,Bawa,Colombo,Sri Lanka,1982,1982,0,1,1,0,2,0.9990667105,house,Parliament or Assembly,FALSE
High Commission,Yes,United Nations,London,British,1861,1910,0,1,1,0,2,0.9160678387,Office,Embassy or Consulate,TRUE
Architrave,Yes,Italian,Italian,Italy,Ancient Greek,Ancient Greek,0,3,1,0,4,0.9717614055,entablature,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,TRUE
Fragrant Hill Hotel,Yes,Pei,Philadelphia,America,1975,1960,0,0,1,0,1,0.9942355156,house,Hotel,TRUE
Jin Mao Tower,Yes,"Skidmore, Owings & Merrill",Shanghai,China,1998,1999,0,1,0,0,1,0.9992241859,office,Observation Tower,TRUE
Grand Theatre,Yes,Paul Andreu,Beijing,China,2006,2006,0,1,0,1,2,0.9278644323,auditoria,Theater,FALSE
Split House,Yes,Yung Ho Chang,Beijing,China,2002,2002,0,1,1,0,2,0.9961415827,house,Hospital / Clinic / Dispensary,FALSE
Bamboo House,Yes,Art Deco,Bucharest,Romania,2002,2002,0,0,2,0,2,0.9634070992,nightclubs,Hospital / Clinic / Dispensary,TRUE
Father ' House,Yes,the architect/s behind the Father ' House,New York,United States,1905,1905,0,0,0,1,1,0.9964290857,house,Single-Family Housing,FALSE
Angdong Hospital,Yes,Wang Weijen,Hunan,China,2011,2011,0,2,0,0,2,0.9993979335,house,Hospital / Clinic / Dispensary,FALSE
House Seasons,No,,,,,,,,,,,,,,
Baishawan Beach facility,No,,,,,,,,,,,,,,
Xixi Wetlands,No,,,,,,,,,,,,,,
Baishawan Beach Visitor Centre,Yes,Wang Weijen,Taipei,Taiwan,2002,2002,0,0,1,0,1,0.9995188117,house,Beach Resort,FALSE
Elephant Mountain,No,,,,,,,,,,,,,,
Castelvecchio Museum,Yes,Carlo Scarpa,Verona,Italy,1812,1959,0,0,1,0,1,0.9993618131,office,Museum,TRUE
Wencun Village,No,,,,,,,,,,,,,,
West Village Basis Yard complex,Yes,Liu Jiakun,China,China,2016,2016,0,0,0,1,1,0.995672226,commercial,Hospital / Clinic / Dispensary,FALSE
Basis Yard,No,,,,,,,,,,,,,,
West Village,No,,,,,,,,,,,,,,
Garden School,Yes,Jackson Heights,Queens,United States,1923,1923,0,1,2,0,3,0.9619351625,office,Greenhouse / Botanical Garden,TRUE
OPEN Architecture Studio,No,,,,,,,,,,,,,,
Oriental Garden,Yes,RMJM,Shanghai,China,2005,2005,0,1,1,0,2,0.9761950374,house,Greenhouse / Botanical Garden,FALSE
Tulou Collective Housing,Yes,Meng Yen,Shanghai,China,2008,2008,0,0,1,0,1,0.9861541986,house,Hospital / Clinic / Dispensary,FALSE
Architecture Studio,No,,,,,,,,,,,,,,
